,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,duration_int,duration_type
5149,as5150,s5150,movie,midsommar,ari aster,"florence pugh, jack reynor, will poulter, william jackson harper",,,2019,r,147 min,"arts, entertainment, and culture, horror, suspense","an american couple, their relationship foundering, travel to a fabled swedish midsummer festival where they become trapped in a sinister nightmare.",30,147,min
5150,as5151,s5151,movie,m.f.a.,natalia leite,"francesca eastwood, clifton collins jr., leah mckendrick, peter vack",,,2017,ages_18_,92 min,"drama, horror, suspense","francesca eastwood gives a breakout performance as an art student who is sexually assaulted at a party. after struggling to receive any support from her college to find justice and cope with her trauma, she impulsively confronts her attacker - a decision that has deadly repercussions. as she tracks down fellow rape survivors, an unlikely vigilante is born.",94,92,min
5151,as5152,s5152,movie,i'm your woman,julia hart,"rachel brosnahan, marsha stephanie blake, arinzé kene",united states,,2020,r,120 min,drama,"in this 1970s set crime drama, a woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",67,120,min
5152,as5153,s5153,movie,honesty weekend,leslie thomas,"adam bartley, natalie ceballos, dioni michelle collins, sabina gadecki, pete ploszek, evan watkins, allan wasserman, lorraine pascale, susan walter",,,2021,18+,89 min,"comedy, drama","a young couple on the rocks is prescribed a weekend of total honesty to turn their marriage around. when their rambunctious group of friends joins them for a getaway, the good, the bad, and the hilarious comes out in a way that only long-time friends can reveal. this no-holds-barred weekend of truth-telling, fun, and chaos may not have been the best idea.",48,89,min
5153,as5154,s5154,movie,forgotten ellis island,lorie conway,elliott gould,,,2007,all,57 min,"documentary, drama","a century ago, in the shadow of the statue of liberty, a massive public hospital was built on two small islands next to ellis island. it is there that the germs of the world converged as thousands of immigrants too sick to be admitted as citizens were treated in the hospital. through interviews with former patients and medical staff comes the forgotten story of how america treated these newcomers.",64,57,min
5154,as5155,s5155,movie,floating city,yim ho,"aaron kwok, josie ho, annie liu",,,2012,16+,105 min,"drama, romance","in 1940s hong kong, an orphaned boy rises above oppressive circumstances to become an esteemed engineer for the british colonies, but still struggles to learn where he came from. from legendary director yim ho comes a lyrical and heartbreaking story of family, identity and love that survives generations.",15,105,min
5155,as5156,s5156,movie,circles vol 1,shatifah carter,,,,2021,18+,83 min,romance,"circles is the story of a beautiful teenager by the name mya..who life changes drastically with the death of her father..her grandmother tries to shield her from the inner city but when the neighborhood boss take a liking to her it changes everything..its leads her down a road of drugs,sex, and more unfortunate events...",51,83,min
5156,as5157,s5157,movie,ceasefire,emmanuel courcol,"romain duris, céline sallette, grégory gadebois, julie-marie parmentier, maryvonne schiltz, wabinlé nabié",,,2017,pg-13,104 min,"action, arts, entertainment, and culture, drama","in the early 1920s, georges laffont, traumatized by the horrific trench warfar, decides to travel to west africa into the vast territories of upper volta.",77,104,min
5157,as5158,s5158,movie,blackbird,roger mitchell,"susan sarandon, kate winslett, mia wasikowska, sam neill, rainn wilson",,,2020,r,98 min,drama,"lily (susan sarandon) summons her daughters jennifer (kate winslet) and anna (mia wasikowska) for one final family reunion as she looks to end her battle with a terminal illness. amid the bittersweet farewell, unresolved feelings surface.",38,98,min
5158,as5159,s5159,movie,valley of the gods,lech majewski,"john malkovick, josh hartnett, jaime ray newman",,,2020,16+,127 min,"action, arthouse, drama","starring josh hartnett and john malkovich, valley of the gods juxtaposes abundance and poverty through the eyes of an anguished writer, a bizarre trillionaire, and a struggling navajo community armed with only a now-imminent ancient legend.",72,127,min
