,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,duration_int,duration_type
1001,hs1002,s1002,tv show,college hill,,,united states,2021-02-01,2007,tv-14,3 Seasons,reality,"series follows the lives of eight university students as they live, learn, love, laugh, and experience life as young adults together under one roof.",4,3,season
1002,hs1003,s1003,movie,"hello, my name is doris",,,,2021-02-01,2015,r,90 min,"comedy, drama",a self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,84,90,min
1003,hs1004,s1004,tv show,love & hip hop atlanta,,,united states,2021-02-01,2013,tv-14,3 Seasons,"music, reality","love and hip hop: atlanta has returned for a second season! back in the dirty south, atlanta is the new frontier in entertainment where the opportunity to make it big in the rap game is always one hustle away.",27,3,season
1004,hs1005,s1005,movie,possessor,,,,2021-02-01,2020,r,104 min,"horror, science fiction, thriller","using brain-implant technology, an elite corporate assassin takes control of other people’s bodies to execute high-profile targets. as she sinks deeper into her latest assignment, vos becomes trapped inside a mind that threatens to obliterate her.",74,104,min
1005,hs1006,s1006,movie,the game,,,,2021-02-01,2021,g,,sports,"the exhilarating highs and lows of a professional soccer match, all from the watchful perspective of a referee at the very heart of the action.",94,,
1006,hs1007,s1007,movie,the haunting in connecticut,,,,2021-02-01,2009,pg-13,103 min,"drama, horror, thriller","in this supernatural thriller, the campbell family's move to connecticut takes a mysteriously dark turn when a series of shocking paranormal events reveals that their inviting new home is a former mortuary with a sordid past. based on a true story.",96,103,min
1007,hs1008,s1008,tv show,the lady and the dale,,,united states,2021-02-01,2021,tv-14,1 Season,documentaries,this documentary series explores an audacious 1970s auto scam centered around a mysterious entrepreneur.,59,1,season
1008,hs1009,s1009,movie,you laugh but it's true,,,"united states, south africa",2021-02-01,2011,83 min,,"comedy, documentaries, drama","in the world of stand-up comedy in south africa, trevor noah uses his experiences during apartheid to prepare for the biggest show of his life.",45,,
1009,hs1010,s1010,movie,the undefeated,,,,2021-01-30,2017,tv-g,,sports,"the undefeated explores sports, style and culture.",75,,
1010,hs1011,s1011,tv show,jann,,,canada,2021-01-29,2019,tv-pg,2 Seasons,comedy,"""in jann, jann arden plays a fictionalized, self-deprecating version
of herself: a singer songwriter of a “certain age” in severe denial of the harsh reality that her former music career is slowly (okay rapidly) fading away. but it’s not just jann’s career that’s on life support – she’s newly single (don’t remind her), her sister may disown her, and her mother may be showing early signs of memory loss. jann's personal life is in shambles and she's convinced that the cure-all is to enlist a new manager to help rebrand her image. filled with plenty of lol moments, she embarks on a quest to return to greatness and go viral, but instead gets tangled in the pressures of her ‘real’ life. jann is at the crossroads between who she was and who she wants to be. can jann stage a comeback, reclaim fame…and be there for the people who love her?""",47,2,season
1011,hs1012,s1012,movie,notturno,,,"italy, france, germany",2021-01-29,2020,100 min,,"documentaries, international","filmed over three years on the borders between iraq, kurdistan, syria and lebanon, director gianfranco rosi’s notturno captures the everyday life that lies in the aftermath of tyranny, invasions and terrorism.",30,,
1012,hs1013,s1013,tv show,mixed-ish,,,united states,2021-01-27,2019,tv-pg,2 Seasons,"black stories, comedy, sitcom","in this spinoff of the hit series black-ish, rainbow johnson recounts her experience growing up in a mixed-race family in the '80s, and the constant dilemmas they had to face over whether to assimilate or stay true to themselves. bow's parents paul and alicia decide to move from a hippie commune to the suburbs to better provide for their family. as her parents struggle with the challenges of their new life, bow and her siblings navigate a mainstream school in which they’re perceived as neither black nor white.",10,2,season
1013,hs1014,s1014,tv show,the guest book,,,united states,2021-01-27,2017,tv-ma,2 Seasons,"comedy, sitcom","different guests visit the same remote cabin in a remote a small, mountain town. the guest book is based on fictitious stories greg garcia had been writing in the guest books of various rental cabins in an effort to freak out the next renters. garcia will write all 10 episodes and will executive produce the tv series, which centers on a small-town vacation home and its visitors. the house and cast of characters living in this mountain town remain ￼￼￼￼￼￼￼the same, with each episode featuring a different set of guests renting the house.",89,2,season
1014,hs1015,s1015,tv show,9-1-1: lone star,,,united states,2021-01-26,2020,tv-14,2 Seasons,drama,"a new york firefighter, along with his son, relocates to austin, where he must try to balance the duties of saving those who are at their most vulnerable and solving the problems in his own life.",44,2,season
1015,hs1016,s1016,tv show,freaks and geeks,,,united states,2021-01-25,1999,tv-pg,1 Season,"comedy, drama","the universal experience of teenagehood as lived by the regular old freaks and geeks in a michigan high school, circa 1980, is the subject of this wistful comedy-drama executive-produced by emmy-winner judd apatow and series creator paul feig.",97,1,season
1016,hs1017,s1017,movie,ingrid goes west,,,united states,2021-01-23,2017,r,98 min,comedy,"ingrid (plaza) is an unstable young woman who secretly moves to la to befriend taylor (olsen) – a woman with a fabulous boyfriend, a cute terrier, and a ton of online followers. ingrid's plan is threatened when taylor’s brother arrives in town.",4,98,min
1017,hs1018,s1018,tv show,painting with john,,,united states,2021-01-23,2021,tv-ma,1 Season,"comedy, lifestyle & culture",lounge lizards cofounder john lurie hones his intricate watercolor techniques and shares his reflections on life in this series.,89,1,season
